Date,Individual,Captured
28-Jul-14,RO.O.,1
28-Jul-14,RY..Y,1
28-Jul-14,RY.Y.,1
28-Jul-14,RYR..,1
28-Jul-14,Y.BB.,1
28-Jul-14,Y.Y.B,1
28-Jul-14,YY.Y.,1
19-Jun-15,..ROO,1
19-Jun-15,..YOY,1
19-Jun-15,.O.OO,1
19-Jun-15,.ROO.,1
19-Jun-15,.RR.R,1
19-Jun-15,.Y.OY,1
19-Jun-15,.Y.YB,1
19-Jun-15,.YO.Y,1
19-Jun-15,.YOO.,1
19-Jun-15,.YOY.,1
19-Jun-15,BBBB.,1
19-Jun-15,O.RO.,1
19-Jun-15,O.RR.,1
19-Jun-15,RO...,1
19-Jun-15,RO.O.,1
19-Jun-15,Y..OO,1
19-Jun-15,Y..OY,1
19-Jun-15,Y..YY,1
19-Jun-15,Y.O.O,1
19-Jun-15,Y.O.Y,1
19-Jun-15,Y.OO.,1
19-Jun-15,Y.OY.2,1
19-Jun-15,Y.Y.B,1
19-Jun-15,Y.YB.,1
19-Jun-15,YO..O,1
19-Jun-15,YO.O.,1
19-Jun-15,YOO..,1
19-Jun-15,YY..B,1
23-Jun-15,..ORR,1
23-Jun-15,..ROO,1
23-Jun-15,..YYB,1
23-Jun-15,.O.RR,1
23-Jun-15,.OR.O,1
23-Jun-15,.OR.R,1
23-Jun-15,.ORO.,1
23-Jun-15,.ORR.,1
23-Jun-15,.RR.R,1
23-Jun-15,O..RO,1
23-Jun-15,O..RR,1
23-Jun-15,O.R.O,1
23-Jun-15,Y.OY.2,1
23-Jun-15,Y.Y..,1
23-Jun-15,YOY..,1
27-Jun-15,..BBB,1
27-Jun-15,..O..,1
27-Jun-15,..R.Y,1
27-Jun-15,..ROO,1
27-Jun-15,.OR.R,1
27-Jun-15,.ROO.,1
27-Jun-15,.RR.R,1
27-Jun-15,.Y.YB,1
27-Jun-15,.YOO.,1
27-Jun-15,.YOY.,1
27-Jun-15,B.Y.Y,1
27-Jun-15,B.YY.,1
27-Jun-15,BB...,1
27-Jun-15,BY...,1
27-Jun-15,BY..Y,1
27-Jun-15,BY.Y.,1
27-Jun-15,BYY..,1
27-Jun-15,O..R.,1
27-Jun-15,OR..R,1
27-Jun-15,RR.Y.,1
27-Jun-15,Y.OOO,1
27-Jun-15,Y.OY.2,1
27-Jun-15,YO..O,1
27-Jun-15,YO.O.,1
27-Jun-15,YOY..,1
27-Jun-15,YY..B,1
10-Jul-15,..O..,1
10-Jul-15,..YBY,1
10-Jul-15,..YYB,1
10-Jul-15,.RR.R,1
10-Jul-15,.Y.BY,1
10-Jul-15,.YBY.,1
10-Jul-15,BBBB.,1
10-Jul-15,RY.Y.,1
10-Jul-15,Y..BY,1
10-Jul-15,Y.B.Y,1
10-Jul-15,Y.O.Y,1
15-Jul-15,..BBB,1
15-Jul-15,..BRO,1
15-Jul-15,..BRR,1
15-Jul-15,..ORR,1
15-Jul-15,..RR.,1
15-Jul-15,.B..B,1
15-Jul-15,.B.BY,1
15-Jul-15,.B.RO,1
15-Jul-15,.B.RR,1
15-Jul-15,.BR.O,1
15-Jul-15,.BR.R,1
15-Jul-15,.BRB.,1
15-Jul-15,.BRO.,1
15-Jul-15,.BRR.,1
15-Jul-15,.OR.O,1
15-Jul-15,.OR.R,1
15-Jul-15,.ORR.,1
15-Jul-15,.R..Y,1
15-Jul-15,.R.B.,1
15-Jul-15,.ROO.,1
15-Jul-15,.YBY.,1
15-Jul-15,.YOO.,1
15-Jul-15,.YOY.,1
15-Jul-15,B..RB,1
15-Jul-15,B..RO,1
15-Jul-15,B..RR,1
15-Jul-15,B.O.R,1
15-Jul-15,B.OR.,1
15-Jul-15,B.R.B,1
15-Jul-15,B.R.O,1
15-Jul-15,B.R.R,1
15-Jul-15,B.RB.,1
15-Jul-15,B.RO.,1
15-Jul-15,B.ROR,1
15-Jul-15,B.YY.,1
15-Jul-15,BO..R,1
15-Jul-15,BO.R.,1
15-Jul-15,BOR..,1
15-Jul-15,BR..B,1
15-Jul-15,BR..O,1
15-Jul-15,BR.B.,1
15-Jul-15,BR.O.,1
15-Jul-15,BRO..,1
15-Jul-15,BY..Y,1
15-Jul-15,BYY..,1
15-Jul-15,O...R,1
15-Jul-15,O..R.,1
15-Jul-15,O..RO,1
15-Jul-15,O..RR,1
15-Jul-15,R...Y,1
15-Jul-15,R..R.,1
15-Jul-15,R.B..,1
15-Jul-15,R.R.B,1
15-Jul-15,RB...,1
15-Jul-15,RO...,1
15-Jul-15,RO.O.,1
15-Jul-15,RY..Y,1
15-Jul-15,Y..OY,1
15-Jul-15,Y.O.O,1
15-Jul-15,Y.OOO,1
15-Jul-15,Y.OY.2,1
15-Jul-15,Y.R..,1
15-Jul-15,Y.Y.Y,1
15-Jul-15,Y.YB.,1
15-Jul-15,YO.Y.,1
21-Jul-15,..BRO,1
21-Jul-15,..O..,1
21-Jul-15,..ORB,1
21-Jul-15,..ROO,1
21-Jul-15,..YBY,1
21-Jul-15,..YYB,1
21-Jul-15,.B.BB,1
21-Jul-15,.B.RO,1
21-Jul-15,.BR.O,1
